camera,datetime,zone,person,car,bicycle,motorcycle,truck,dog
2,24-11-2021 0:00,0,0,0,0,0,0,0
2,24-11-2021 0:00,1,0,0,0,0,0,0
2,24-11-2021 0:00,2,0,0,0,0,0,0
2,24-11-2021 0:00,3,0,0,0,0,0,0
2,24-11-2021 1:00,0,0,0,0,0,0,0
2,24-11-2021 1:00,1,0,0,0,0,0,0
2,24-11-2021 1:00,2,0,0,0,0,0,0
2,24-11-2021 1:00,3,0,0,0,0,0,0
2,24-11-2021 2:00,0,0,0,0,0,0,0
2,24-11-2021 2:00,1,0,0,0,0,0,0
2,24-11-2021 2:00,2,0,0,0,0,0,0
2,24-11-2021 2:00,3,0,0,0,0,0,0
2,24-11-2021 3:00,0,0,0,0,0,0,0
2,24-11-2021 3:00,1,0,0,0,0,0,0
2,24-11-2021 3:00,2,0,0,0,0,0,0
2,24-11-2021 3:00,3,0,0,0,0,0,0
2,24-11-2021 4:00,0,0,0,0,0,0,0
2,24-11-2021 4:00,1,0,0,0,0,0,0
2,24-11-2021 4:00,2,0,0,0,0,0,0
2,24-11-2021 4:00,3,0,0,0,0,0,0
2,24-11-2021 5:00,0,0,0,0,0,0,0
2,24-11-2021 5:00,1,0,0,0,0,0,0
2,24-11-2021 5:00,2,0,0,0,0,0,0
2,24-11-2021 5:00,3,0,0,0,0,0,0
2,24-11-2021 6:00,0,0,0,0,0,0,0
2,24-11-2021 6:00,1,0,0,0,0,0,0
2,24-11-2021 6:00,2,0,0,0,0,0,0
2,24-11-2021 6:00,3,0,0,0,0,0,0
2,24-11-2021 7:00,0,0,0,0,0,0,0
2,24-11-2021 7:00,1,0,1,0,0,0,0
2,24-11-2021 7:00,2,0,0,0,0,0,0
2,24-11-2021 7:00,3,0,0,0,0,0,0
2,24-11-2021 8:00,0,0,0,0,0,0,0
2,24-11-2021 8:00,1,0,5,0,0,0,0
2,24-11-2021 8:00,2,0,0,0,0,0,0
2,24-11-2021 8:00,3,0,0,0,0,0,0
2,24-11-2021 9:00,0,0,4,0,0,1,0
2,24-11-2021 9:00,1,0,6,0,0,0,0
2,24-11-2021 9:00,2,6,0,0,0,0,0
2,24-11-2021 9:00,3,8,0,0,0,0,0
2,24-11-2021 10:00,0,0,110,0,0,9,0
2,24-11-2021 10:00,1,29,16,0,0,5,0
2,24-11-2021 10:00,2,40,0,0,0,0,0
2,24-11-2021 10:00,3,48,0,0,0,0,0
2,24-11-2021 11:00,0,0,20,0,0,5,0
2,24-11-2021 11:00,1,1,7,0,0,2,0
2,24-11-2021 11:00,2,3,0,0,0,0,0
2,24-11-2021 11:00,3,46,0,0,0,0,0
2,24-11-2021 12:00,0,0,10,0,0,1,0
2,24-11-2021 12:00,1,2,5,0,0,0,0
2,24-11-2021 12:00,2,0,0,0,0,0,0
2,24-11-2021 12:00,3,6,0,0,0,0,0
2,24-11-2021 13:00,0,0,2,0,0,3,0
2,24-11-2021 13:00,1,0,0,0,0,0,0
2,24-11-2021 13:00,2,3,0,0,0,0,0
2,24-11-2021 13:00,3,6,0,0,0,0,0
2,24-11-2021 14:00,0,0,3,0,0,3,0
2,24-11-2021 14:00,1,2,4,0,0,1,0
2,24-11-2021 14:00,2,3,0,0,0,0,0
2,24-11-2021 14:00,3,12,0,0,0,0,0
2,24-11-2021 15:00,0,0,2,0,0,1,0
2,24-11-2021 15:00,1,0,1,0,0,0,0
2,24-11-2021 15:00,2,53,0,0,0,0,0
2,24-11-2021 15:00,3,18,0,0,0,0,0
2,24-11-2021 16:00,0,0,2,0,0,3,0
2,24-11-2021 16:00,1,2,1,0,0,0,0
2,24-11-2021 16:00,2,15,0,0,0,0,0
2,24-11-2021 16:00,3,23,0,0,0,0,0
2,24-11-2021 17:00,0,0,55,0,0,2,0
2,24-11-2021 17:00,1,10,13,0,0,5,0
2,24-11-2021 17:00,2,45,0,0,0,0,0
2,24-11-2021 17:00,3,0,1,0,0,0,0
2,24-11-2021 18:00,0,0,54,0,0,1,0
2,24-11-2021 18:00,1,21,21,0,0,0,0
2,24-11-2021 18:00,2,31,0,0,0,0,0
2,24-11-2021 18:00,3,95,0,0,0,0,0
2,24-11-2021 19:00,0,0,7,0,0,0,0
2,24-11-2021 19:00,1,0,14,0,0,0,0
2,24-11-2021 19:00,2,2,0,0,0,0,0
2,24-11-2021 19:00,3,0,0,0,0,0,0
2,24-11-2021 20:00,0,0,2,0,0,0,0
2,24-11-2021 20:00,1,0,11,0,0,0,0
2,24-11-2021 20:00,2,9,0,0,0,0,0
2,24-11-2021 20:00,3,3,0,0,0,0,0
2,24-11-2021 21:00,0,0,0,0,0,0,0
2,24-11-2021 21:00,1,0,5,0,0,0,0
2,24-11-2021 21:00,2,0,0,0,0,0,0
2,24-11-2021 21:00,3,0,0,0,0,0,0
2,24-11-2021 22:00,0,0,0,0,0,0,0
2,24-11-2021 22:00,1,1,3,0,0,0,0
2,24-11-2021 22:00,2,0,0,0,0,0,0
2,24-11-2021 22:00,3,4,0,0,0,0,0
2,24-11-2021 23:00,0,0,0,0,0,0,0
2,24-11-2021 23:00,1,0,3,0,0,0,0
2,24-11-2021 23:00,2,1,0,0,0,0,0
2,24-11-2021 23:00,3,0,0,0,0,0,0
2,25-11-2021 0:00,0,0,0,0,0,0,0
2,25-11-2021 0:00,1,0,1,0,0,0,0
2,25-11-2021 0:00,2,0,0,0,0,0,0
2,25-11-2021 0:00,3,0,0,0,0,0,0
2,25-11-2021 1:00,0,0,0,0,0,0,0
2,25-11-2021 1:00,1,0,1,0,0,0,0
2,25-11-2021 1:00,2,0,0,0,0,0,0
2,25-11-2021 1:00,3,0,0,0,0,0,0
2,25-11-2021 2:00,0,0,0,0,0,0,0
2,25-11-2021 2:00,1,0,1,0,0,0,0
2,25-11-2021 2:00,2,0,0,0,0,0,0
2,25-11-2021 2:00,3,0,0,0,0,0,0
2,25-11-2021 3:00,0,0,0,0,0,0,0
2,25-11-2021 3:00,1,0,0,0,0,0,0
2,25-11-2021 3:00,2,0,0,0,0,0,0
2,25-11-2021 3:00,3,0,0,0,0,0,0
2,25-11-2021 4:00,0,0,0,0,0,0,0
2,25-11-2021 4:00,1,0,1,0,0,0,0
2,25-11-2021 4:00,2,0,0,0,0,0,0
2,25-11-2021 4:00,3,0,0,0,0,0,0
2,25-11-2021 5:00,0,0,0,0,0,0,0
2,25-11-2021 5:00,1,0,0,0,0,0,0
2,25-11-2021 5:00,2,0,0,0,0,0,0
2,25-11-2021 5:00,3,0,0,0,0,0,0
2,25-11-2021 6:00,0,0,0,0,0,0,0
2,25-11-2021 6:00,1,0,0,0,0,0,0
2,25-11-2021 6:00,2,0,0,0,0,0,0
2,25-11-2021 6:00,3,0,0,0,0,0,0
2,25-11-2021 7:00,0,0,1,0,0,0,0
2,25-11-2021 7:00,1,0,1,0,0,0,0
2,25-11-2021 7:00,2,0,0,0,0,0,0
2,25-11-2021 7:00,3,0,0,0,0,0,0
2,25-11-2021 8:00,0,0,2,0,0,0,0
2,25-11-2021 8:00,1,0,0,0,0,0,0
2,25-11-2021 8:00,2,0,0,0,0,0,0
2,25-11-2021 8:00,3,0,0,0,0,0,0
2,25-11-2021 9:00,0,0,8,0,0,1,0
2,25-11-2021 9:00,1,0,2,0,0,0,0
2,25-11-2021 9:00,2,0,0,0,0,0,0
2,25-11-2021 9:00,3,0,0,0,0,0,0
2,25-11-2021 10:00,0,0,193,0,0,14,0
2,25-11-2021 10:00,1,11,14,0,0,5,0
2,25-11-2021 10:00,2,58,0,0,0,0,0
2,25-11-2021 10:00,3,62,0,0,0,0,0
2,25-11-2021 11:00,0,0,39,0,0,11,0
2,25-11-2021 11:00,1,12,5,0,0,5,0
2,25-11-2021 11:00,2,0,0,0,0,0,0
2,25-11-2021 11:00,3,53,0,0,0,0,0
2,25-11-2021 12:00,0,0,10,0,0,5,0
2,25-11-2021 12:00,1,4,6,0,0,0,0
2,25-11-2021 12:00,2,0,0,0,0,0,0
2,25-11-2021 12:00,3,0,0,0,0,0,0
2,25-11-2021 13:00,0,0,22,0,0,5,0
2,25-11-2021 13:00,1,2,5,0,0,0,0
2,25-11-2021 13:00,2,8,0,1,0,0,0
2,25-11-2021 13:00,3,0,0,0,0,0,0
2,25-11-2021 14:00,0,0,30,0,0,24,0
2,25-11-2021 14:00,1,1,4,0,0,3,0
2,25-11-2021 14:00,2,1,0,0,0,0,0
2,25-11-2021 14:00,3,3,0,0,0,0,0
2,25-11-2021 15:00,0,0,33,0,0,14,0
2,25-11-2021 15:00,1,4,5,0,0,9,0
2,25-11-2021 15:00,2,4,0,0,0,0,0
2,25-11-2021 15:00,3,25,0,0,0,0,0
2,25-11-2021 16:00,0,0,64,0,0,4,0
2,25-11-2021 16:00,1,12,1,0,0,3,0
2,25-11-2021 16:00,2,24,0,0,0,0,0
2,25-11-2021 16:00,3,56,0,0,0,0,0
2,25-11-2021 17:00,0,0,161,0,0,19,0
2,25-11-2021 17:00,1,48,11,0,0,9,0
2,25-11-2021 17:00,2,70,0,0,0,0,0
2,25-11-2021 17:00,3,120,0,0,0,0,0
2,25-11-2021 18:00,0,0,68,0,0,1,0
2,25-11-2021 18:00,1,8,15,0,0,5,0
2,25-11-2021 18:00,2,20,0,0,0,0,0
2,25-11-2021 18:00,3,22,0,0,0,0,0
2,25-11-2021 19:00,0,0,4,0,0,0,0
2,25-11-2021 19:00,1,0,10,0,0,0,0
2,25-11-2021 19:00,2,0,0,0,0,0,0
2,25-11-2021 19:00,3,0,0,0,0,0,0
2,25-11-2021 20:00,0,0,0,0,0,0,0
2,25-11-2021 20:00,1,0,2,0,0,0,0
2,25-11-2021 20:00,2,21,0,0,0,0,0
2,25-11-2021 20:00,3,0,0,0,0,0,0
2,25-11-2021 21:00,0,0,0,0,0,0,0
2,25-11-2021 21:00,1,0,2,0,0,0,0
2,25-11-2021 21:00,2,0,0,0,0,0,0
2,25-11-2021 21:00,3,0,0,0,0,0,0
2,25-11-2021 22:00,0,0,0,0,0,0,0
2,25-11-2021 22:00,1,0,0,0,0,0,0
2,25-11-2021 22:00,2,0,0,0,0,0,0
2,25-11-2021 22:00,3,0,0,0,0,0,0
2,25-11-2021 23:00,0,0,0,0,0,0,0
2,25-11-2021 23:00,1,0,2,0,0,0,0
2,25-11-2021 23:00,2,0,0,0,0,0,0
2,25-11-2021 23:00,3,0,0,0,0,0,0
2,26-11-2021 0:00,0,0,0,0,0,0,0
2,26-11-2021 0:00,1,1,0,0,0,0,0
2,26-11-2021 0:00,2,1,0,0,0,0,0
2,26-11-2021 0:00,3,0,0,0,0,0,0
2,26-11-2021 1:00,0,0,0,0,0,0,0
2,26-11-2021 1:00,1,0,1,0,0,0,0
2,26-11-2021 1:00,2,0,0,0,0,0,0
2,26-11-2021 1:00,3,0,0,0,0,0,0
2,26-11-2021 2:00,0,0,0,0,0,0,0
2,26-11-2021 2:00,1,0,0,0,0,0,0
2,26-11-2021 2:00,2,0,0,0,0,0,0
2,26-11-2021 2:00,3,0,0,0,0,0,0
2,26-11-2021 3:00,0,0,0,0,0,0,0
2,26-11-2021 3:00,1,0,0,0,0,0,0
2,26-11-2021 3:00,2,0,0,0,0,0,0
2,26-11-2021 3:00,3,0,0,0,0,0,0
2,26-11-2021 4:00,0,0,0,0,0,0,0
2,26-11-2021 4:00,1,0,0,0,0,0,0
2,26-11-2021 4:00,2,0,0,0,0,0,0
2,26-11-2021 4:00,3,0,0,0,0,0,0
2,26-11-2021 5:00,0,0,0,0,0,0,0
2,26-11-2021 5:00,1,0,0,0,0,0,0
2,26-11-2021 5:00,2,0,0,0,0,0,0
2,26-11-2021 5:00,3,0,0,0,0,0,0
2,26-11-2021 6:00,0,0,0,0,0,0,0
2,26-11-2021 6:00,1,0,0,0,0,0,0
2,26-11-2021 6:00,2,2,0,0,0,0,0
2,26-11-2021 6:00,3,0,0,0,0,0,0
2,26-11-2021 7:00,0,0,0,0,0,0,0
2,26-11-2021 7:00,1,0,0,0,0,0,0
2,26-11-2021 7:00,2,0,0,0,0,0,0
2,26-11-2021 7:00,3,0,0,0,0,0,0
2,26-11-2021 8:00,0,0,0,0,0,0,0
2,26-11-2021 8:00,1,0,3,0,0,0,0
2,26-11-2021 8:00,2,0,0,0,0,0,0
2,26-11-2021 8:00,3,0,0,0,0,0,0
2,26-11-2021 9:00,0,0,16,0,0,0,0
2,26-11-2021 9:00,1,2,5,0,0,0,0
2,26-11-2021 9:00,2,2,0,0,0,0,0
2,26-11-2021 9:00,3,12,0,0,0,0,0
2,26-11-2021 10:00,0,0,163,0,0,5,0
2,26-11-2021 10:00,1,24,10,0,0,5,0
2,26-11-2021 10:00,2,58,0,0,0,0,0
2,26-11-2021 10:00,3,54,0,0,0,0,0
2,26-11-2021 11:00,0,0,49,0,0,1,0
2,26-11-2021 11:00,1,16,0,0,0,2,0
2,26-11-2021 11:00,2,12,0,0,0,0,0
2,26-11-2021 11:00,3,43,0,0,0,0,0
2,26-11-2021 12:00,0,1,56,0,0,11,0
2,26-11-2021 12:00,1,0,6,0,0,2,0
2,26-11-2021 12:00,2,7,0,0,0,0,0
2,26-11-2021 12:00,3,9,0,0,0,0,0
2,26-11-2021 13:00,0,0,168,0,0,11,0
2,26-11-2021 13:00,1,2,12,0,0,2,0
2,26-11-2021 13:00,2,5,0,0,0,0,0
2,26-11-2021 13:00,3,11,0,0,0,0,0
2,26-11-2021 14:00,0,1,60,0,0,10,0
2,26-11-2021 14:00,1,3,10,0,0,3,0
2,26-11-2021 14:00,2,7,0,0,0,0,0
2,26-11-2021 14:00,3,0,0,0,0,0,0
2,26-11-2021 15:00,0,0,77,0,0,10,0
2,26-11-2021 15:00,1,4,7,0,0,4,0
2,26-11-2021 15:00,2,9,0,0,0,0,0
2,26-11-2021 15:00,3,12,0,0,0,0,0
2,26-11-2021 16:00,0,1,112,0,0,7,0
2,26-11-2021 16:00,1,24,10,0,0,9,0
2,26-11-2021 16:00,2,22,0,0,0,0,0
2,26-11-2021 16:00,3,6,0,0,0,0,0
2,26-11-2021 17:00,0,0,163,0,0,8,0
2,26-11-2021 17:00,1,5,11,0,0,12,0
2,26-11-2021 17:00,2,29,0,0,0,0,0
2,26-11-2021 17:00,3,0,0,0,0,0,0
2,26-11-2021 18:00,0,0,86,0,0,1,0
2,26-11-2021 18:00,1,4,6,0,0,3,0
2,26-11-2021 18:00,2,6,0,0,0,0,0
2,26-11-2021 18:00,3,10,0,0,0,0,0
2,26-11-2021 19:00,0,0,0,0,0,0,0
2,26-11-2021 19:00,1,4,2,0,0,1,0
2,26-11-2021 19:00,2,0,0,0,0,0,0
2,26-11-2021 19:00,3,0,0,0,0,0,0
2,26-11-2021 20:00,0,0,0,0,0,0,0
2,26-11-2021 20:00,1,0,6,0,0,0,0
2,26-11-2021 20:00,2,0,0,0,0,0,0
2,26-11-2021 20:00,3,0,0,0,0,0,0
2,26-11-2021 21:00,0,0,0,0,0,0,0
2,26-11-2021 21:00,1,0,10,0,0,0,0
2,26-11-2021 21:00,2,0,0,0,0,0,0
2,26-11-2021 21:00,3,0,0,0,0,0,0
2,26-11-2021 22:00,0,0,0,0,0,0,0
2,26-11-2021 22:00,1,0,7,0,0,0,0
2,26-11-2021 22:00,2,0,0,0,0,0,0
2,26-11-2021 22:00,3,0,0,0,0,0,0
2,26-11-2021 23:00,0,0,0,0,0,0,0
2,26-11-2021 23:00,1,0,7,0,0,0,0
2,26-11-2021 23:00,2,3,0,0,0,0,0
2,26-11-2021 23:00,3,0,0,0,0,0,0
2,27-11-2021 0:00,0,0,0,0,0,0,0
2,27-11-2021 0:00,1,0,2,0,0,0,0
2,27-11-2021 0:00,2,0,0,0,0,0,0
2,27-11-2021 0:00,3,0,0,0,0,0,0
2,27-11-2021 1:00,0,0,0,0,0,0,0
2,27-11-2021 1:00,1,0,1,0,0,0,0
2,27-11-2021 1:00,2,2,0,0,0,0,0
2,27-11-2021 1:00,3,0,0,0,0,0,0
2,27-11-2021 2:00,0,0,1,0,0,0,0
2,27-11-2021 2:00,1,0,0,0,0,0,0
2,27-11-2021 2:00,2,0,0,0,0,0,0
2,27-11-2021 2:00,3,0,0,0,0,0,0
2,27-11-2021 3:00,0,0,0,0,0,0,0
2,27-11-2021 3:00,1,0,0,0,0,0,0
2,27-11-2021 3:00,2,0,0,0,0,0,0
2,27-11-2021 3:00,3,0,0,0,0,0,0
2,27-11-2021 4:00,0,0,0,0,0,0,0
2,27-11-2021 4:00,1,0,0,0,0,0,0
2,27-11-2021 4:00,2,0,0,0,0,0,0
2,27-11-2021 4:00,3,0,0,0,0,0,0
2,27-11-2021 5:00,0,0,0,0,0,0,0
2,27-11-2021 5:00,1,0,0,0,0,0,0
2,27-11-2021 5:00,2,0,0,0,0,0,0
2,27-11-2021 5:00,3,0,0,0,0,0,0
2,27-11-2021 6:00,0,0,0,0,0,0,0
2,27-11-2021 6:00,1,0,0,0,0,0,0
2,27-11-2021 6:00,2,0,0,0,0,0,0
2,27-11-2021 6:00,3,0,0,0,0,0,0
2,27-11-2021 7:00,0,0,0,0,0,0,0
2,27-11-2021 7:00,1,0,0,0,0,0,0
2,27-11-2021 7:00,2,0,0,0,0,0,0
2,27-11-2021 7:00,3,0,0,0,0,0,0
2,27-11-2021 8:00,0,0,0,0,0,0,0
2,27-11-2021 8:00,1,0,0,0,0,0,0
2,27-11-2021 8:00,2,0,0,0,0,0,0
2,27-11-2021 8:00,3,0,0,0,0,0,0
2,27-11-2021 9:00,0,0,6,0,0,0,0
2,27-11-2021 9:00,1,0,2,0,0,0,0
2,27-11-2021 9:00,2,0,0,0,0,0,0
2,27-11-2021 9:00,3,0,0,0,0,0,0
2,27-11-2021 10:00,0,0,49,0,0,0,0
2,27-11-2021 10:00,1,2,1,0,0,0,0
2,27-11-2021 10:00,2,5,0,0,0,0,0
2,27-11-2021 10:00,3,1,0,0,0,0,0
2,27-11-2021 11:00,0,0,38,0,0,0,0
2,27-11-2021 11:00,1,4,3,0,0,2,0
2,27-11-2021 11:00,2,7,0,0,0,0,0
2,27-11-2021 11:00,3,24,0,0,0,0,0
2,27-11-2021 12:00,0,0,45,0,0,1,0
2,27-11-2021 12:00,1,3,5,0,0,0,0
2,27-11-2021 12:00,2,6,0,0,0,0,0
2,27-11-2021 12:00,3,3,0,0,0,0,0
2,27-11-2021 13:00,0,0,46,0,0,5,0
2,27-11-2021 13:00,1,4,2,0,0,2,0
2,27-11-2021 13:00,2,1,0,0,0,0,0
2,27-11-2021 13:00,3,6,0,0,0,0,0
2,27-11-2021 14:00,0,1,52,0,0,3,0
2,27-11-2021 14:00,1,3,8,0,0,0,0
2,27-11-2021 14:00,2,2,0,0,0,0,0
2,27-11-2021 14:00,3,3,0,0,0,0,0
2,27-11-2021 15:00,0,0,69,0,0,3,0
2,27-11-2021 15:00,1,8,7,0,0,1,0
2,27-11-2021 15:00,2,7,0,0,0,0,0
2,27-11-2021 15:00,3,20,0,0,0,0,0
2,27-11-2021 16:00,0,0,116,0,0,4,0
2,27-11-2021 16:00,1,7,9,0,0,7,0
2,27-11-2021 16:00,2,5,0,0,0,0,0
2,27-11-2021 16:00,3,8,0,0,0,0,0
2,27-11-2021 17:00,0,0,145,0,0,4,0
2,27-11-2021 17:00,1,27,6,0,0,3,0
2,27-11-2021 17:00,2,14,0,0,0,0,0
2,27-11-2021 17:00,3,41,0,0,0,0,0
2,27-11-2021 18:00,0,0,85,0,0,0,0
2,27-11-2021 18:00,1,10,10,0,0,3,0
2,27-11-2021 18:00,2,29,0,0,0,0,0
2,27-11-2021 18:00,3,33,0,0,0,0,0
2,27-11-2021 19:00,0,0,4,0,0,0,0
2,27-11-2021 19:00,1,0,4,0,0,0,0
2,27-11-2021 19:00,2,2,0,0,0,0,0
2,27-11-2021 19:00,3,0,0,0,0,0,0
2,27-11-2021 20:00,0,0,1,0,0,0,0
2,27-11-2021 20:00,1,0,6,0,0,0,0
2,27-11-2021 20:00,2,0,0,0,0,0,0
2,27-11-2021 20:00,3,0,1,0,0,0,0
2,27-11-2021 21:00,0,0,3,0,0,0,0
2,27-11-2021 21:00,1,0,3,0,0,0,0
2,27-11-2021 21:00,2,0,0,0,0,0,0
2,27-11-2021 21:00,3,0,0,0,0,0,0
2,27-11-2021 22:00,0,0,0,0,0,0,0
2,27-11-2021 22:00,1,0,3,0,0,0,0
2,27-11-2021 22:00,2,0,0,0,0,0,0
2,27-11-2021 22:00,3,0,1,0,0,0,0
2,27-11-2021 23:00,0,0,0,0,0,0,0
2,27-11-2021 23:00,1,1,1,0,0,0,0
2,27-11-2021 23:00,2,6,0,0,0,0,0
2,27-11-2021 23:00,3,0,0,0,0,0,0
2,28-11-2021 0:00,0,0,0,0,0,0,0
2,28-11-2021 0:00,1,1,1,0,0,0,0
2,28-11-2021 0:00,2,3,0,0,0,0,0
2,28-11-2021 0:00,3,0,0,0,0,0,0
2,28-11-2021 1:00,0,0,2,0,0,0,0
2,28-11-2021 1:00,1,0,0,0,0,0,0
2,28-11-2021 1:00,2,0,0,0,0,0,0
2,28-11-2021 1:00,3,0,0,0,0,0,0
2,28-11-2021 2:00,0,0,0,0,0,0,0
2,28-11-2021 2:00,1,0,0,0,0,0,0
2,28-11-2021 2:00,2,0,0,0,0,0,0
2,28-11-2021 2:00,3,0,0,0,0,0,0
2,28-11-2021 3:00,0,0,1,0,0,0,0
2,28-11-2021 3:00,1,0,0,0,0,0,0
2,28-11-2021 3:00,2,0,0,0,0,0,0
2,28-11-2021 3:00,3,0,0,0,0,0,0
2,28-11-2021 4:00,0,0,0,0,0,0,0
2,28-11-2021 4:00,1,0,0,0,0,0,0
2,28-11-2021 4:00,2,0,0,0,0,0,0
2,28-11-2021 4:00,3,0,0,0,0,0,0
2,28-11-2021 5:00,0,0,0,0,0,0,0
2,28-11-2021 5:00,1,0,0,0,0,0,0
2,28-11-2021 5:00,2,0,0,0,0,0,0
2,28-11-2021 5:00,3,0,0,0,0,0,0
2,28-11-2021 6:00,0,0,0,0,0,0,0
